  PID  %CPU COMM
 1077   0.0 /usr/libexec/siriknowledged
 1078   0.0 /System/Library/Frameworks/FinanceKit.framework/financed
 1079   0.0 /usr/libexec/searchpartyuseragent
 1080   0.0 /usr/sbin/filecoordinationd
 1081   0.0 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
 1082   0.0 /System/Library/PrivateFrameworks/ScreenTimeSettingsFoundation.framework/Versions/A/ScreenTimeSettingsAgent
 1083   0.0 /usr/libexec/fpassetmanagerd
 1084   0.0 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
 1086   0.0 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
 1087   0.0 /System/Library/PrivateFrameworks/DeviceConfiguration.framework/Versions/A/DeviceConfigurationAgent
 1088   0.0 /System/Library/PrivateFrameworks/MobileInstallation.framework/Support/appinstalld
 1089   0.0 /usr/sbin/distnoted
 1090   0.0 /usr/libexec/transparencyd
 1091   0.0 /System/Library/CoreServices/sharedfilelistd
 1092   0.0 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
 1093   0.0 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
 1094   0.0 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
 1096   0.0 /usr/libexec/appleaccountd
 1099   0.0 /usr/libexec/nearbyd
 1101   0.0 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
 1102   0.0 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
 1103   0.0 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
 1104   0.0 /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd
 1105   0.0 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
 1106   0.0 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
 1109   0.0 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
 1110   0.0 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
 1111   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
 1112   0.0 /usr/libexec/textunderstandingd
 1113   0.0 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
 1114   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
 1115   0.0 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
 1116   0.0 /System/Library/CoreServices/talagentd
 1117   0.0 /System/Library/CoreServices/MenuBarAgent.app/Contents/MacOS/MenuBarAgent
 1118   0.0 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
 1119   0.0 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
 1121   0.0 /usr/sbin/distnoted
 1122   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
 1124   0.0 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
 1125   0.0 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
 1126   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
 1127   0.0 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
 1128   0.0 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
 1129   0.0 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
 1130   0.0 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
 1131   0.0 /usr/sbin/systemsoundserverd
 1133   0.0 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
 1138   0.0 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService
 1139   0.0 /usr/libexec/AssetCache/AssetCache
 1142   0.0 /usr/libexec/findmydevice-user-agent
 1143   0.0 /System/Library/CoreServices/iconservicesagent
 1144   0.0 /System/Library/CoreServices/ReportCrash
 1145   0.0 /usr/libexec/seserviced
 1148   0.0 /usr/sbin/distnoted
 1149   0.0 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
 1153   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
 1154   0.0 /System/Library/CoreServices/pbs
 1155   0.0 /usr/libexec/networkserviceproxy
 1157   0.0 /usr/libexec/aneuserd
 1158   0.0 /usr/libexec/aned
 1159   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
 1160   0.0 /usr/libexec/keyboardservicesd
 1161   0.0 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 1162   0.0 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
 1163   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 1164   0.0 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem
 1167   0.0 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
 1168   0.0 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
 1169   0.0 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
 1170   0.0 /System/Library/Frameworks/Translation.framework/translationd
 1172   0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
 1173   0.0 /usr/libexec/avconferenced
 1174   0.0 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
 1175   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterService.xpc/Contents/MacOS/AudioConverterService
 1176   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterHardenedService.xpc/Contents/MacOS/AudioConverterHardenedService
