  PID  PPID COMM
 1041     1 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
 1042     1 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
 1044     1 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
 1048     1 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
 1049     1 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
 1050     1 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
 1051     1 /usr/libexec/pkd
 1052     1 /usr/libexec/linkd
 1053     1 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
 1054     1 /usr/libexec/neagent
 1055     1 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
 1056     1 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
 1057     1 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
 1059     1 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
 1060     1 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
 1061     1 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1062     1 /usr/libexec/sharingd
 1063     1 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
 1064     1 /System/Library/CoreServices/ScopedBookmarkAgent
 1065     1 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
 1066     1 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
 1067     1 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1068     1 /usr/libexec/dmd
 1069     1 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1070     1 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
 1071     1 /usr/libexec/mobilerepaird
 1072     1 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
 1073     1 /System/Library/PrivateFrameworks/CloudSubscriptionFeatures.framework/FeatureAccessAgent
 1074     1 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
 1075     1 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
 1076     1 /usr/libexec/diagnosticextensionsd
 1077     1 /usr/libexec/siriknowledged
 1078     1 /System/Library/Frameworks/FinanceKit.framework/financed
 1079     1 /usr/libexec/searchpartyuseragent
 1080     1 /usr/sbin/filecoordinationd
 1081     1 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
 1082     1 /System/Library/PrivateFrameworks/ScreenTimeSettingsFoundation.framework/Versions/A/ScreenTimeSettingsAgent
 1083     1 /usr/libexec/fpassetmanagerd
 1084     1 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
 1086     1 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
 1087     1 /System/Library/PrivateFrameworks/DeviceConfiguration.framework/Versions/A/DeviceConfigurationAgent
 1088     1 /System/Library/PrivateFrameworks/MobileInstallation.framework/Support/appinstalld
 1089     1 /usr/sbin/distnoted
 1090     1 /usr/libexec/transparencyd
 1091     1 /System/Library/CoreServices/sharedfilelistd
 1092     1 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
 1093     1 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
 1094     1 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
 1096     1 /usr/libexec/appleaccountd
 1099     1 /usr/libexec/nearbyd
 1101     1 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
 1102     1 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
 1103     1 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
 1104     1 /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd
 1105     1 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
 1106     1 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
 1109     1 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
 1110     1 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
 1111     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
 1112     1 /usr/libexec/textunderstandingd
 1113     1 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
 1114     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
 1115     1 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
 1116     1 /System/Library/CoreServices/talagentd
 1117     1 /System/Library/CoreServices/MenuBarAgent.app/Contents/MacOS/MenuBarAgent
 1118     1 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
 1119     1 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
 1121     1 /usr/sbin/distnoted
 1122     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
 1124     1 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
 1125     1 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
 1126     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
 1127     1 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
 1128     1 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
 1129     1 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
 1130     1 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
 1131     1 /usr/sbin/systemsoundserverd
 1133     1 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
 1138     1 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService
 1139     1 /usr/libexec/AssetCache/AssetCache
 1142     1 /usr/libexec/findmydevice-user-agent
 1143     1 /System/Library/CoreServices/iconservicesagent
 1144     1 /System/Library/CoreServices/ReportCrash
 1145     1 /usr/libexec/seserviced
 1148     1 /usr/sbin/distnoted
 1149     1 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
 1153     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
 1154     1 /System/Library/CoreServices/pbs
 1155     1 /usr/libexec/networkserviceproxy
 1157     1 /usr/libexec/aneuserd
 1158     1 /usr/libexec/aned
 1159     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
 1160     1 /usr/libexec/keyboardservicesd
 1161     1 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 1162     1 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
 1163     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 1164     1 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem
 1167     1 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
 1168     1 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
